R_Fighter,R_KD,R_Sub. att,R_Rev.,R_Ctrl,B_Fighter,B_KD,B_Sub. att,B_Rev.,B_Ctrl,Winner,Division,Title_Bout,Event,Method,Round,Time,Date,Location,R_Sig. str._Landed,R_Sig. str._Attempted,R_Total str._Landed,R_Total str._Attempted,R_Td_Landed,R_Td_Attempted,R_Head_Landed,R_Head_Attempted,R_Body_Landed,R_Body_Attempted,R_Leg_Landed,R_Leg_Attempted,R_Distance_Landed,R_Distance_Attempted,R_Clinch_Landed,R_Clinch_Attempted,R_Ground_Landed,R_Ground_Attempted,B_Sig. str._Landed,B_Sig. str._Attempted,B_Total str._Landed,B_Total str._Attempted,B_Td_Landed,B_Td_Attempted,B_Head_Landed,B_Head_Attempted,B_Body_Landed,B_Body_Attempted,B_Leg_Landed,B_Leg_Attempted,B_Distance_Landed,B_Distance_Attempted,B_Clinch_Landed,B_Clinch_Attempted,B_Ground_Landed,B_Ground_Attempted
Jasmine Jasudavicius,0,0,0,3.62,Natalia Silva,0,0,0,1.12,Blue,Women's Flyweight,0,UFC Fight Night: Kattar vs. Emmett,Decision - Unanimous,3,5:00,2022-06-18,"Austin, Texas, USA",31.0,101.0,40.0,116.0,0.0,6.0,12.0,72.0,18.0,27.0,1.0,2.0,27.0,95.0,4.0,6.0,0.0,0.0,96.0,185.0,120.0,213.0,2.0,3.0,55.0,137.0,18.0,24.0,23.0,24.0,85.0,169.0,1.0,1.0,10.0,15.0
Court McGee,0,0,0,0.0,Jeremiah Wells,1,0,0,0.03,Blue,Welterweight,0,UFC Fight Night: Kattar vs. Emmett,KO/TKO,1,1:34,2022-06-18,"Austin, Texas, USA",3.0,8.0,3.0,8.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,7.0,16.0,7.0,16.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,2.0,2.0
Ricardo Ramos,1,0,0,0.02,Danny Chavez,0,0,0,0.0,Red,Featherweight,0,UFC Fight Night: Kattar vs. Emmett,KO/TKO,1,1:12,2022-06-18,"Austin, Texas, USA",4.0,14.0,4.0,14.0,0.0,0.0,3.0,12.0,1.0,2.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,9.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,2.0,3.0,8.0,0.0,1.0,0.0,0.0
Maria Oliveira,0,0,0,1.58,Gloria de Paula,0,0,0,0.82,Red,Women's Strawweight,0,UFC Fight Night: Kattar vs. Emmett,Decision - Split,3,5:00,2022-06-18,"Austin, Texas, USA",96.0,297.0,99.0,303.0,2.0,4.0,66.0,247.0,12.0,23.0,18.0,27.0,94.0,294.0,2.0,3.0,0.0,0.0,105.0,190.0,116.0,205.0,2.0,3.0,75.0,155.0,11.0,15.0,19.0,20.0,98.0,182.0,7.0,7.0,0.0,1.0
Eddie Wineland,0,0,0,0.0,Cody Stamann,1,0,0,0.12,Blue,Bantamweight,0,UFC Fight Night: Kattar vs. Emmett,KO/TKO,1,0:59,2022-06-18,"Austin, Texas, USA",3.0,7.0,3.0,7.0,0.0,0.0,1.0,5.0,2.0,2.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,27.0,38.0,32.0,43.0,0.0,0.0,23.0,34.0,3.0,3.0,1.0,1.0,9.0,16.0,12.0,16.0,6.0,6.0
Phil Hawes,1,0,0,0.78,Deron Winn,0,0,0,0.0,Red,Middleweight,0,UFC Fight Night: Kattar vs. Emmett,KO/TKO,2,4:25,2022-06-18,"Austin, Texas, USA",118.0,175.0,126.0,191.0,1.0,3.0,99.0,152.0,17.0,21.0,2.0,2.0,89.0,138.0,14.0,18.0,15.0,19.0,32.0,111.0,34.0,114.0,0.0,0.0,24.0,101.0,4.0,6.0,4.0,4.0,29.0,100.0,3.0,11.0,0.0,0.0
Roman Dolidze,2,0,0,0.6,Kyle Daukaus,0,0,0,0.0,Red,Middleweight,0,UFC Fight Night: Kattar vs. Emmett,KO/TKO,1,1:13,2022-06-18,"Austin, Texas, USA",8.0,15.0,10.0,17.0,0.0,0.0,8.0,14.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,5.0,8.0,4.0,9.0,5.0,10.0,0.0,0.0,1.0,6.0,1.0,1.0,2.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0
Glover Teixeira,0,1,2,9.78,Jiri Prochazka,0,1,4,4.48,Blue,Light Heavyweight,1,UFC 275: Teixeira vs. Prochazka,Submission,5,4:32,2022-06-11,"Kallang, Singapore",111.0,161.0,159.0,212.0,5.0,17.0,98.0,145.0,12.0,15.0,1.0,1.0,45.0,86.0,6.0,7.0,60.0,68.0,120.0,205.0,157.0,245.0,0.0,0.0,106.0,190.0,12.0,13.0,2.0,2.0,76.0,142.0,8.0,11.0,36.0,52.0
Valentina Shevchenko,0,1,0,4.25,Taila Santos,0,3,2,8.82,Red,Women's Flyweight,1,UFC 275: Teixeira vs. Prochazka,Decision - Split,5,5:00,2022-06-11,"Kallang, Singapore",77.0,139.0,234.0,309.0,3.0,5.0,46.0,100.0,12.0,18.0,19.0,21.0,65.0,123.0,7.0,10.0,5.0,6.0,55.0,102.0,128.0,180.0,3.0,3.0,18.0,58.0,11.0,15.0,26.0,29.0,45.0,89.0,4.0,5.0,6.0,8.0
Zhang Weili,1,0,0,2.82,Joanna Jedrzejczyk,0,0,0,0.0,Red,Women's Strawweight,0,UFC 275: Teixeira vs. Prochazka,KO/TKO,2,2:28,2022-06-11,"Kallang, Singapore",69.0,102.0,94.0,130.0,3.0,6.0,52.0,80.0,12.0,15.0,5.0,7.0,29.0,59.0,5.0,5.0,35.0,38.0,43.0,85.0,44.0,86.0,0.0,0.0,20.0,56.0,9.0,9.0,14.0,20.0,39.0,81.0,4.0,4.0,0.0,0.0
Andre Fialho,0,0,0,0.0,Jake Matthews,1,0,0,0.0,Blue,Welterweight,0,UFC 275: Teixeira vs. Prochazka,KO/TKO,2,2:24,2022-06-11,"Kallang, Singapore",18.0,51.0,19.0,52.0,0.0,0.0,13.0,44.0,1.0,3.0,4.0,4.0,18.0,49.0,0.0,0.0,0.0,2.0,47.0,89.0,47.0,89.0,0.0,0.0,35.0,75.0,4.0,4.0,8.0,10.0,44.0,86.0,1.0,1.0,2.0,2.0
Jack Della Maddalena,1,0,0,0.05,Ramazan Emeev,0,1,0,0.42,Red,Welterweight,0,UFC 275: Teixeira vs. Prochazka,KO/TKO,1,2:32,2022-06-11,"Kallang, Singapore",18.0,36.0,18.0,36.0,0.0,0.0,11.0,26.0,7.0,10.0,0.0,0.0,11.0,29.0,3.0,3.0,4.0,4.0,7.0,24.0,7.0,24.0,1.0,2.0,6.0,22.0,1.0,2.0,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0
SeungWoo Choi,0,0,0,2.5,Josh Culibao,2,0,0,0.97,Blue,Featherweight,0,UFC 275: Teixeira vs. Prochazka,Decision - Split,3,5:00,2022-06-11,"Kallang, Singapore",46.0,163.0,64.0,184.0,1.0,2.0,29.0,137.0,6.0,14.0,11.0,12.0,39.0,147.0,4.0,10.0,3.0,6.0,51.0,111.0,69.0,132.0,0.0,0.0,40.0,97.0,7.0,9.0,4.0,5.0,40.0,95.0,6.0,8.0,5.0,8.0
Maheshate,2,0,0,0.0,Steve Garcia,0,0,0,0.58,Red,Lightweight,0,UFC 275: Teixeira vs. Prochazka,KO/TKO,1,1:14,2022-06-11,"Kallang, Singapore",7.0,10.0,7.0,10.0,0.0,0.0,6.0,8.0,1.0,2.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,7.0,19.0,9.0,21.0,0.0,0.0,7.0,15.0,0.0,4.0,0.0,0.0,4.0,15.0,0.0,1.0,3.0,3.0
Brendan Allen,0,0,2,3.4,Jacob Malkoun,0,0,0,7.15,Red,Middleweight,0,UFC 275: Teixeira vs. Prochazka,Decision - Unanimous,3,5:00,2022-06-11,"Kallang, Singapore",45.0,74.0,89.0,122.0,2.0,2.0,36.0,62.0,2.0,4.0,7.0,8.0,28.0,55.0,0.0,1.0,17.0,18.0,33.0,55.0,66.0,96.0,7.0,14.0,29.0,50.0,3.0,4.0,1.0,1.0,29.0,48.0,1.0,1.0,3.0,6.0
Kyung Ho Kang,0,0,0,0.0,Batgerel Danaa,0,0,0,0.05,Red,Bantamweight,0,UFC 275: Teixeira vs. Prochazka,Decision - Unanimous,3,5:00,2022-06-11,"Kallang, Singapore",100.0,155.0,100.0,155.0,0.0,2.0,82.0,134.0,2.0,4.0,16.0,17.0,99.0,153.0,1.0,2.0,0.0,0.0,109.0,284.0,110.0,286.0,0.0,1.0,68.0,223.0,19.0,36.0,22.0,25.0,103.0,276.0,5.0,7.0,1.0,1.0
Liang Na,0,0,0,0.15,Silvana Gomez Juarez,1,0,0,0.0,Blue,Women's Strawweight,0,UFC 275: Teixeira vs. Prochazka,KO/TKO,1,1:22,2022-06-11,"Kallang, Singapore",4.0,17.0,4.0,17.0,0.0,2.0,4.0,17.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,8.0,12.0,10.0,14.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,6.0,9.0,2.0,3.0,0.0,0.0
Ramona Pascual,0,0,0,1.03,Joselyne Edwards,0,0,0,0.87,Blue,Women's Featherweight,0,UFC 275: Teixeira vs. Prochazka,Decision - Unanimous,3,5:00,2022-06-11,"Kallang, Singapore",63.0,109.0,65.0,113.0,1.0,11.0,23.0,63.0,20.0,24.0,20.0,22.0,44.0,86.0,19.0,23.0,0.0,0.0,164.0,268.0,175.0,280.0,0.0,3.0,22.0,83.0,65.0,98.0,77.0,87.0,152.0,251.0,12.0,17.0,0.0,0.0
Alexander Volkov,0,0,0,0.0,Jairzinho Rozenstruik,0,0,0,0.0,Red,Heavyweight,0,UFC Fight Night: Volkov vs. Rozenstruik,KO/TKO,1,2:12,2022-06-04,"Las Vegas, Nevada, USA",21.0,37.0,21.0,37.0,0.0,0.0,10.0,26.0,5.0,5.0,6.0,6.0,21.0,37.0,0.0,0.0,0.0,0.0,6.0,18.0,6.0,18.0,0.0,0.0,3.0,15.0,0.0,0.0,3.0,3.0,6.0,18.0,0.0,0.0,0.0,0.0
Dan Ige,0,0,0,0.17,Movsar Evloev,0,0,0,6.78,Blue,Featherweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Decision - Unanimous,3,5:00,2022-06-04,"Las Vegas, Nevada, USA",42.0,106.0,47.0,114.0,0.0,0.0,25.0,85.0,14.0,18.0,3.0,3.0,38.0,102.0,1.0,1.0,3.0,3.0,68.0,129.0,144.0,213.0,9.0,16.0,50.0,109.0,12.0,14.0,6.0,6.0,51.0,110.0,2.0,2.0,15.0,17.0
Michael Trizano,1,0,0,1.72,Lucas Almeida,2,0,0,2.22,Blue,Featherweight,0,UFC Fight Night: Volkov vs. Rozenstruik,KO/TKO,3,0:55,2022-06-04,"Las Vegas, Nevada, USA",31.0,62.0,42.0,74.0,0.0,0.0,17.0,45.0,12.0,14.0,2.0,3.0,26.0,55.0,1.0,2.0,4.0,5.0,75.0,152.0,94.0,171.0,0.0,0.0,32.0,95.0,16.0,22.0,27.0,35.0,54.0,121.0,0.0,0.0,21.0,31.0
Karine Silva,0,1,0,0.78,Poliana Botelho,0,0,0,0.0,Red,Women's Flyweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Submission,1,4:55,2022-06-04,"Las Vegas, Nevada, USA",17.0,68.0,23.0,75.0,1.0,1.0,9.0,49.0,5.0,8.0,3.0,11.0,12.0,63.0,0.0,0.0,5.0,5.0,19.0,26.0,19.0,26.0,0.0,0.0,10.0,17.0,6.0,6.0,3.0,3.0,19.0,26.0,0.0,0.0,0.0,0.0
Ode Osbourne,1,0,0,0.05,Zarrukh Adashev,0,0,0,0.0,Red,Flyweight,0,UFC Fight Night: Volkov vs. Rozenstruik,KO/TKO,1,1:01,2022-06-04,"Las Vegas, Nevada, USA",7.0,15.0,7.0,15.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,6.0,7.0,7.0,13.0,7.0,13.0,0.0,0.0,5.0,11.0,1.0,1.0,1.0,1.0,7.0,13.0,0.0,0.0,0.0,0.0
Alonzo Menifield,0,0,0,4.32,Askar Mozharov,0,0,0,0.0,Red,Light Heavyweight,0,UFC Fight Night: Volkov vs. Rozenstruik,KO/TKO,1,4:40,2022-06-04,"Las Vegas, Nevada, USA",19.0,22.0,55.0,59.0,2.0,3.0,18.0,21.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,16.0,16.0,2.0,11.0,11.0,20.0,0.0,0.0,1.0,9.0,1.0,2.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0
Felice Herrig,0,0,0,0.02,Karolina Kowalkiewicz,0,2,0,3.17,Blue,Women's Strawweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Submission,2,4:01,2022-06-04,"Las Vegas, Nevada, USA",55.0,122.0,59.0,126.0,0.0,2.0,34.0,92.0,20.0,28.0,1.0,2.0,49.0,116.0,6.0,6.0,0.0,0.0,82.0,123.0,102.0,146.0,0.0,2.0,54.0,94.0,23.0,24.0,5.0,5.0,57.0,96.0,17.0,18.0,8.0,9.0
Joe Solecki,0,3,0,4.85,Alex Da Silva,1,0,0,5.92,Red,Lightweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Decision - Majority,3,5:00,2022-06-04,"Las Vegas, Nevada, USA",33.0,82.0,91.0,144.0,1.0,4.0,32.0,81.0,0.0,0.0,1.0,1.0,30.0,77.0,1.0,3.0,2.0,2.0,35.0,76.0,54.0,96.0,0.0,0.0,20.0,58.0,11.0,12.0,4.0,6.0,29.0,67.0,1.0,2.0,5.0,7.0
Damon Jackson,0,1,1,10.42,Dan Argueta,0,0,1,2.73,Red,Featherweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Decision - Unanimous,3,5:00,2022-06-04,"Las Vegas, Nevada, USA",32.0,53.0,47.0,71.0,2.0,4.0,23.0,44.0,6.0,6.0,3.0,3.0,19.0,40.0,5.0,5.0,8.0,8.0,27.0,59.0,103.0,141.0,1.0,3.0,24.0,56.0,3.0,3.0,0.0,0.0,16.0,42.0,10.0,15.0,1.0,2.0
Niklas Stolze,0,1,0,0.0,Benoit Saint Denis,0,2,0,5.73,Blue,Lightweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Submission,2,1:32,2022-06-04,"Las Vegas, Nevada, USA",11.0,14.0,20.0,23.0,0.0,0.0,3.0,5.0,5.0,5.0,3.0,4.0,6.0,9.0,4.0,4.0,1.0,1.0,8.0,10.0,41.0,48.0,3.0,5.0,4.0,5.0,3.0,4.0,1.0,1.0,4.0,6.0,2.0,2.0,2.0,2.0
Johnny Munoz,0,0,0,0.0,Tony Gravely,1,0,0,0.05,Blue,Bantamweight,0,UFC Fight Night: Volkov vs. Rozenstruik,KO/TKO,1,1:08,2022-06-04,"Las Vegas, Nevada, USA",2.0,7.0,2.0,7.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,5.0,15.0,6.0,16.0,0.0,0.0,4.0,12.0,0.0,0.0,1.0,3.0,2.0,11.0,0.0,0.0,3.0,4.0
Jeff Molina,0,0,0,0.23,Zhalgas Zhumagulov,0,0,0,5.53,Red,Flyweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Decision - Split,3,5:00,2022-06-04,"Las Vegas, Nevada, USA",56.0,148.0,129.0,226.0,0.0,0.0,43.0,133.0,6.0,7.0,7.0,8.0,49.0,139.0,5.0,7.0,2.0,2.0,37.0,112.0,68.0,146.0,2.0,13.0,10.0,74.0,17.0,26.0,10.0,12.0,28.0,103.0,9.0,9.0,0.0,0.0
Rinat Fakhretdinov,0,0,0,13.0,Andreas Michailidis,0,0,1,0.65,Red,Welterweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Decision - Unanimous,3,5:00,2022-06-04,"Las Vegas, Nevada, USA",45.0,61.0,106.0,130.0,5.0,10.0,27.0,41.0,10.0,11.0,8.0,9.0,10.0,20.0,18.0,22.0,17.0,19.0,18.0,33.0,48.0,65.0,0.0,2.0,7.0,22.0,5.0,5.0,6.0,6.0,9.0,22.0,7.0,9.0,2.0,2.0
Erin Blanchfield,0,1,0,0.93,JJ Aldrich,0,0,0,0.7,Red,Women's Flyweight,0,UFC Fight Night: Volkov vs. Rozenstruik,Submission,2,2:38,2022-06-04,"Las Vegas, Nevada, USA",48.0,100.0,68.0,121.0,0.0,4.0,29.0,76.0,11.0,11.0,8.0,13.0,46.0,96.0,2.0,4.0,0.0,0.0,32.0,71.0,38.0,77.0,2.0,6.0,29.0,66.0,3.0,5.0,0.0,0.0,31.0,68.0,1.0,3.0,0.0,0.0
Holly Holm,0,0,0,10.05,Ketlen Vieira,0,1,0,1.4,Blue,Women's Bantamweight,0,UFC Fight Night: Holm vs. Vieira,Decision - Split,5,5:00,2022-05-21,"Las Vegas, Nevada, USA",96.0,157.0,188.0,263.0,0.0,6.0,26.0,79.0,34.0,40.0,36.0,38.0,76.0,133.0,20.0,24.0,0.0,0.0,85.0,151.0,122.0,190.0,1.0,7.0,49.0,109.0,29.0,34.0,7.0,8.0,49.0,110.0,32.0,37.0,4.0,4.0
Santiago Ponzinibbio,0,0,0,0.3,Michel Pereira,0,0,0,0.02,Blue,Welterweight,0,UFC Fight Night: Holm vs. Vieira,Decision - Split,3,5:00,2022-05-21,"Las Vegas, Nevada, USA",105.0,220.0,106.0,221.0,1.0,4.0,78.0,185.0,13.0,18.0,14.0,17.0,103.0,217.0,1.0,1.0,1.0,2.0,110.0,216.0,110.0,216.0,0.0,0.0,52.0,143.0,42.0,56.0,16.0,17.0,108.0,214.0,2.0,2.0,0.0,0.0
Chidi Njokuani,1,1,0,0.83,Dusko Todorovic,0,0,0,3.22,Red,Middleweight,0,UFC Fight Night: Holm vs. Vieira,KO/TKO,1,4:48,2022-05-21,"Las Vegas, Nevada, USA",14.0,17.0,19.0,23.0,0.0,0.0,3.0,4.0,8.0,10.0,3.0,3.0,5.0,7.0,9.0,10.0,0.0,0.0,5.0,7.0,9.0,11.0,2.0,7.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,4.0,1.0,1.0
Polyana Viana,0,0,0,0.15,Tabatha Ricci,0,0,0,9.52,Blue,Women's Strawweight,0,UFC Fight Night: Holm vs. Vieira,Decision - Unanimous,3,5:00,2022-05-21,"Las Vegas, Nevada, USA",36.0,97.0,126.0,212.0,0.0,0.0,18.0,74.0,11.0,14.0,7.0,9.0,29.0,86.0,3.0,7.0,4.0,4.0,33.0,73.0,72.0,126.0,5.0,10.0,11.0,43.0,3.0,8.0,19.0,22.0,21.0,57.0,0.0,1.0,12.0,15.0
Eryk Anders,0,0,0,4.75,Junyong Park,0,0,1,0.52,Blue,Middleweight,0,UFC Fight Night: Holm vs. Vieira,Decision - Split,3,5:00,2022-05-21,"Las Vegas, Nevada, USA",65.0,142.0,75.0,155.0,3.0,24.0,45.0,112.0,17.0,25.0,3.0,5.0,56.0,131.0,9.0,11.0,0.0,0.0,105.0,184.0,108.0,187.0,0.0,1.0,74.0,152.0,16.0,17.0,15.0,15.0,85.0,161.0,20.0,23.0,0.0,0.0
Joseph Holmes,1,1,0,0.35,Alen Amedovski,0,0,0,0.0,Red,Middleweight,0,UFC Fight Night: Holm vs. Vieira,Submission,1,1:04,2022-05-21,"Las Vegas, Nevada, USA",16.0,23.0,16.0,23.0,1.0,1.0,11.0,17.0,2.0,2.0,3.0,4.0,9.0,14.0,1.0,1.0,6.0,8.0,1.0,8.0,1.0,8.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0
Jailton Almeida,0,1,0,4.48,Parker Porter,0,0,0,0.0,Red,Heavyweight,0,UFC Fight Night: Holm vs. Vieira,Submission,1,4:35,2022-05-21,"Las Vegas, Nevada, USA",18.0,34.0,36.0,58.0,1.0,2.0,16.0,32.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omar Morales,0,0,0,0.0,Uros Medic,2,0,0,0.03,Blue,Lightweight,0,UFC Fight Night: Holm vs. Vieira,KO/TKO,2,3:05,2022-05-21,"Las Vegas, Nevada, USA",33.0,85.0,33.0,85.0,0.0,0.0,18.0,64.0,8.0,14.0,7.0,7.0,32.0,82.0,1.0,3.0,0.0,0.0,47.0,86.0,47.0,86.0,0.0,0.0,21.0,57.0,13.0,16.0,13.0,13.0,45.0,83.0,2.0,3.0,0.0,0.0
Jonathan Martinez,0,0,0,0.68,Vince Morales,0,0,1,0.23,Red,Bantamweight,0,UFC Fight Night: Holm vs. Vieira,Decision - Unanimous,3,5:00,2022-05-21,"Las Vegas, Nevada, USA",88.0,154.0,88.0,154.0,2.0,2.0,41.0,98.0,18.0,22.0,29.0,34.0,86.0,151.0,2.0,3.0,0.0,0.0,51.0,153.0,62.0,164.0,0.0,0.0,33.0,127.0,15.0,23.0,3.0,3.0,48.0,149.0,2.0,3.0,1.0,1.0
Chase Hooper,0,3,5,7.07,Felipe Colares,0,0,3,4.23,Red,Featherweight,0,UFC Fight Night: Holm vs. Vieira,KO/TKO,3,3:00,2022-05-21,"Las Vegas, Nevada, USA",60.0,93.0,140.0,188.0,4.0,7.0,57.0,88.0,3.0,5.0,0.0,0.0,11.0,28.0,10.0,18.0,39.0,47.0,21.0,23.0,43.0,46.0,2.0,4.0,14.0,16.0,4.0,4.0,3.0,3.0,9.0,10.0,1.0,1.0,11.0,12.0
Elise Reed,0,0,0,0.0,Sam Hughes,0,0,0,11.98,Blue,Women's Strawweight,0,UFC Fight Night: Holm vs. Vieira,KO/TKO,3,3:52,2022-05-21,"Las Vegas, Nevada, USA",17.0,41.0,70.0,100.0,0.0,0.0,10.0,34.0,7.0,7.0,0.0,0.0,13.0,37.0,4.0,4.0,0.0,0.0,43.0,65.0,130.0,161.0,4.0,7.0,33.0,51.0,6.0,10.0,4.0,4.0,7.0,19.0,6.0,10.0,30.0,36.0
Jan Blachowicz,0,1,0,0.02,Aleksandar Rakic,0,0,0,4.55,Red,Light Heavyweight,0,UFC Fight Night: Blachowicz vs. Rakic,KO/TKO,3,1:11,2022-05-14,"Las Vegas, Nevada, USA",31.0,71.0,53.0,94.0,0.0,0.0,8.0,31.0,9.0,21.0,14.0,19.0,31.0,69.0,0.0,2.0,0.0,0.0,27.0,85.0,61.0,125.0,1.0,4.0,14.0,60.0,2.0,9.0,11.0,16.0,17.0,70.0,0.0,0.0,10.0,15.0
Ryan Spann,0,1,0,0.07,Ion Cutelaba,0,0,0,1.18,Red,Light Heavyweight,0,UFC Fight Night: Blachowicz vs. Rakic,Submission,1,2:22,2022-05-14,"Las Vegas, Nevada, USA",4.0,11.0,5.0,12.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,2.0,9.0,2.0,9.0,3.0,3.0,2.0,8.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,3.0,1.0,1.0
Davey Grant,1,0,0,0.58,Louis Smolka,0,0,0,0.58,Red,Bantamweight,0,UFC Fight Night: Blachowicz vs. Rakic,KO/TKO,3,0:49,2022-05-14,"Las Vegas, Nevada, USA",81.0,197.0,84.0,200.0,0.0,1.0,36.0,134.0,29.0,42.0,16.0,21.0,68.0,180.0,6.0,8.0,7.0,9.0,71.0,139.0,75.0,145.0,0.0,3.0,46.0,101.0,19.0,31.0,6.0,7.0,67.0,133.0,1.0,1.0,3.0,5.0
Katlyn Chookagian,0,0,0,0.1,Amanda Ribas,0,0,0,4.82,Red,Women's Flyweight,0,UFC Fight Night: Blachowicz vs. Rakic,Decision - Split,3,5:00,2022-05-14,"Las Vegas, Nevada, USA",63.0,222.0,71.0,230.0,0.0,2.0,42.0,175.0,20.0,44.0,1.0,3.0,56.0,210.0,7.0,12.0,0.0,0.0,55.0,169.0,84.0,204.0,3.0,6.0,28.0,124.0,8.0,23.0,19.0,22.0,49.0,156.0,3.0,7.0,3.0,6.0
Frank Camacho,0,0,0,0.23,Manuel Torres,1,0,0,0.27,Blue,Lightweight,0,UFC Fight Night: Blachowicz vs. Rakic,KO/TKO,1,3:27,2022-05-14,"Las Vegas, Nevada, USA",16.0,31.0,24.0,40.0,0.0,5.0,10.0,24.0,2.0,2.0,4.0,5.0,14.0,29.0,2.0,2.0,0.0,0.0,34.0,64.0,34.0,64.0,0.0,1.0,27.0,56.0,6.0,7.0,1.0,1.0,30.0,60.0,4.0,4.0,0.0,0.0
Jake Hadley,0,1,1,3.83,Allan Nascimento,0,0,3,9.45,Blue,Flyweight,0,UFC Fight Night: Blachowicz vs. Rakic,Decision - Unanimous,3,5:00,2022-05-14,"Las Vegas, Nevada, USA",8.0,29.0,26.0,47.0,0.0,0.0,5.0,25.0,3.0,4.0,0.0,0.0,3.0,20.0,1.0,1.0,4.0,8.0,19.0,52.0,36.0,69.0,2.0,4.0,7.0,32.0,8.0,16.0,4.0,4.0,10.0,27.0,1.0,2.0,8.0,23.0
Viviane Araujo,0,2,0,10.67,Andrea Lee,1,0,0,0.8,Red,Women's Flyweight,0,UFC Fight Night: Blachowicz vs. Rakic,Decision - Unanimous,3,5:00,2022-05-14,"Las Vegas, Nevada, USA",39.0,79.0,96.0,160.0,3.0,5.0,25.0,63.0,9.0,11.0,5.0,5.0,32.0,66.0,0.0,0.0,7.0,13.0,47.0,82.0,64.0,103.0,1.0,2.0,34.0,65.0,9.0,13.0,4.0,4.0,36.0,64.0,7.0,11.0,4.0,7.0
Michael Johnson,1,0,0,2.02,Alan Patrick,0,0,0,0.2,Red,Lightweight,0,UFC Fight Night: Blachowicz vs. Rakic,KO/TKO,2,3:22,2022-05-14,"Las Vegas, Nevada, USA",30.0,48.0,40.0,61.0,1.0,1.0,18.0,35.0,9.0,9.0,3.0,4.0,25.0,43.0,2.0,2.0,3.0,3.0,22.0,47.0,30.0,56.0,0.0,5.0,7.0,30.0,9.0,11.0,6.0,6.0,20.0,42.0,2.0,5.0,0.0,0.0
Virna Jandiroba,0,0,0,7.07,Angela Hill,0,0,1,2.13,Red,Women's Strawweight,0,UFC Fight Night: Blachowicz vs. Rakic,Decision - Unanimous,3,5:00,2022-05-14,"Las Vegas, Nevada, USA",14.0,60.0,92.0,151.0,3.0,8.0,13.0,52.0,1.0,8.0,0.0,0.0,13.0,58.0,1.0,2.0,0.0,0.0,21.0,55.0,44.0,86.0,1.0,2.0,14.0,42.0,7.0,13.0,0.0,0.0,19.0,52.0,2.0,2.0,0.0,1.0
Tatsuro Taira,1,3,2,6.95,Carlos Candelario,0,1,3,3.4699999999999998,Red,Flyweight,0,UFC Fight Night: Blachowicz vs. Rakic,Decision - Unanimous,3,5:00,2022-05-14,"Las Vegas, Nevada, USA",57.0,87.0,89.0,132.0,1.0,5.0,45.0,74.0,5.0,6.0,7.0,7.0,15.0,30.0,2.0,2.0,40.0,55.0,9.0,34.0,21.0,47.0,2.0,5.0,6.0,27.0,3.0,6.0,0.0,1.0,9.0,34.0,0.0,0.0,0.0,0.0
