R_Fighter,R_KD,R_Sig. str.,R_Sig. str. %,R_Total str.,R_Td,R_Td %,R_Sub. att,R_Rev.,R_Ctrl,R_Head,R_Body,R_Leg,R_Distance,R_Clinch,R_Ground,B_Fighter,B_KD,B_Sig. str.,B_Sig. str. %,B_Total str.,B_Td,B_Td %,B_Sub. att,B_Rev.,B_Ctrl,B_Head,B_Body,B_Leg,B_Distance,B_Clinch,B_Ground,Winner,Division,Title_Bout,Event,Method,Round,Time
George Sotiropoulos,0,50 of 199,25%,50 of 199,1 of 7,14%,0,0,0:26,31 of 176,6 of 9,13 of 14,50 of 199,0 of 0,0 of 0,KJ Noons,0,56 of 167,33%,57 of 168,0 of 0,---,0,0,0:00,26 of 113,30 of 54,0 of 0,56 of 167,0 of 0,0 of 0,Blue,Lightweight,0,UFC 166: Velasquez vs Dos Santos 3,Decision - Unanimous,3,5:00
TJ Waldburger,0,4 of 10,40%,4 of 10,0 of 3,0%,0,0,0:38,0 of 4,1 of 1,3 of 5,3 of 9,1 of 1,0 of 0,Adlan Amagov,1,15 of 26,57%,23 of 34,0 of 1,0%,0,0,0:05,10 of 18,3 of 6,2 of 2,3 of 10,5 of 7,7 of 9,Blue,Welterweight,0,UFC 166: Velasquez vs Dos Santos 3,KO/TKO,1,3:00
Tony Ferguson,0,5 of 15,33%,7 of 18,0 of 0,---,1,0,0:17,3 of 13,1 of 1,1 of 1,4 of 14,0 of 0,1 of 1,Mike Rio,0,4 of 8,50%,4 of 8,0 of 2,0%,0,0,0:17,3 of 7,1 of 1,0 of 0,3 of 7,1 of 1,0 of 0,Red,Lightweight,0,UFC 166: Velasquez vs Dos Santos 3,Submission,1,1:52
Jeremy Larsen,0,23 of 45,51%,30 of 53,1 of 2,50%,0,0,1:44,18 of 40,3 of 3,2 of 2,22 of 44,0 of 0,1 of 1,Andre Fili,0,55 of 105,52%,63 of 113,1 of 1,100%,0,0,0:40,47 of 96,4 of 4,4 of 5,38 of 83,8 of 11,9 of 11,Blue,Featherweight,0,UFC 166: Velasquez vs Dos Santos 3,KO/TKO,2,0:53
Dustin Pague,0,9 of 15,60%,18 of 24,1 of 1,100%,1,1,3:29,5 of 11,3 of 3,1 of 1,2 of 7,5 of 6,2 of 2,Kyoji Horiguchi,1,30 of 50,60%,74 of 98,1 of 3,33%,0,0,3:53,24 of 43,1 of 2,5 of 5,10 of 14,2 of 2,18 of 34,Blue,Bantamweight,0,UFC 166: Velasquez vs Dos Santos 3,KO/TKO,2,3:51
Demian Maia,0,24 of 75,32%,98 of 160,3 of 7,42%,0,0,5:19,15 of 61,8 of 13,1 of 1,13 of 57,7 of 12,4 of 6,Jake Shields,0,35 of 112,31%,97 of 188,1 of 12,8%,0,1,11:43,19 of 87,3 of 8,13 of 17,21 of 95,1 of 3,13 of 14,Blue,Welterweight,0,UFC Fight Night: Maia vs Shields,Decision - Split,5,5:00
Erick Silva,0,28 of 60,46%,31 of 63,0 of 0,---,0,0,0:22,12 of 38,14 of 19,2 of 3,17 of 41,11 of 18,0 of 1,Dong Hyun Kim,1,11 of 31,35%,30 of 50,1 of 4,25%,0,0,4:00,10 of 29,1 of 2,0 of 0,7 of 22,1 of 5,3 of 4,Blue,Welterweight,0,UFC Fight Night: Maia vs Shields,KO/TKO,2,3:01
Thiago Silva,1,96 of 205,46%,108 of 217,0 of 0,---,0,0,0:45,48 of 140,12 of 18,36 of 47,81 of 179,10 of 17,5 of 9,Matt Hamill,0,70 of 181,38%,74 of 186,3 of 14,21%,0,0,1:23,37 of 141,8 of 9,25 of 31,67 of 176,3 of 5,0 of 0,Red,Light Heavyweight,0,UFC Fight Night: Maia vs Shields,Decision - Unanimous,3,5:00
Fabio Maldonado,0,87 of 168,51%,121 of 204,0 of 0,---,1,0,0:37,61 of 133,25 of 34,1 of 1,58 of 130,29 of 38,0 of 0,Joey Beltran,0,57 of 200,28%,86 of 234,1 of 4,25%,0,0,6:06,37 of 167,18 of 30,2 of 3,21 of 141,33 of 55,3 of 4,Red,Light Heavyweight,0,UFC Fight Night: Maia vs Shields,Decision - Split,3,5:00
Rousimar Palhares,0,0 of 1,0%,0 of 1,0 of 0,---,2,0,0:04,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,Mike Pierce,0,2 of 5,40%,2 of 5,1 of 1,100%,0,0,0:09,2 of 5,0 of 0,0 of 0,2 of 5,0 of 0,0 of 0,Red,Welterweight,0,UFC Fight Night: Maia vs Shields,Submission,1,0:31
Raphael Assuncao,0,32 of 101,31%,37 of 106,0 of 6,0%,1,0,0:19,21 of 77,3 of 12,8 of 12,30 of 96,1 of 4,1 of 1,TJ Dillashaw,0,29 of 101,28%,32 of 105,2 of 4,50%,3,0,2:48,14 of 79,12 of 17,3 of 5,25 of 95,4 of 6,0 of 0,Red,Bantamweight,0,UFC Fight Night: Maia vs Shields,Decision - Split,3,5:00
Ildemar Alcantara,0,18 of 33,54%,33 of 53,3 of 3,100%,3,0,4:31,11 of 23,5 of 6,2 of 4,3 of 14,7 of 9,8 of 10,Igor Araujo,0,21 of 51,41%,128 of 166,1 of 6,16%,1,1,7:19,17 of 40,2 of 5,2 of 6,6 of 20,3 of 6,12 of 25,Blue,Welterweight,0,UFC Fight Night: Maia vs Shields,Decision - Unanimous,3,5:00
Yan Cabral,1,18 of 34,52%,59 of 79,4 of 6,66%,1,0,12:09,17 of 32,0 of 0,1 of 2,3 of 8,0 of 1,15 of 25,David Mitchell,0,5 of 22,22%,40 of 57,0 of 1,0%,1,0,1:07,4 of 20,1 of 1,0 of 1,3 of 19,1 of 2,1 of 1,Red,Welterweight,0,UFC Fight Night: Maia vs Shields,Decision - Unanimous,3,5:00
Iliarde Santos,0,35 of 88,39%,46 of 101,2 of 4,50%,0,0,2:20,23 of 72,10 of 12,2 of 4,28 of 80,5 of 6,2 of 2,Chris Cariaso,0,54 of 124,43%,61 of 132,0 of 1,0%,0,0,0:43,42 of 104,9 of 17,3 of 3,41 of 109,8 of 8,5 of 7,Blue,Flyweight,0,UFC Fight Night: Maia vs Shields,KO/TKO,2,4:31
Alan Patrick,1,16 of 35,45%,19 of 42,1 of 2,50%,0,0,0:53,13 of 26,0 of 6,3 of 3,8 of 25,3 of 5,5 of 5,Garett Whiteley,0,7 of 28,25%,15 of 36,0 of 1,0%,0,0,0:05,3 of 23,3 of 4,1 of 1,4 of 21,3 of 7,0 of 0,Red,Lightweight,0,UFC Fight Night: Maia vs Shields,KO/TKO,1,3:54
Jon Jones,0,134 of 217,61%,137 of 220,1 of 11,9%,0,0,0:59,53 of 115,28 of 37,53 of 65,127 of 208,7 of 9,0 of 0,Alexander Gustafsson,0,110 of 288,38%,114 of 294,1 of 8,12%,0,0,0:19,63 of 204,33 of 65,14 of 19,108 of 283,2 of 5,0 of 0,Red,Light Heavyweight,1,UFC 165: Jones vs Gustafsson,Decision - Unanimous,5,5:00
Renan Barao,1,28 of 45,62%,29 of 46,0 of 1,0%,0,0,0:05,16 of 33,5 of 5,7 of 7,25 of 41,0 of 0,3 of 4,Eddie Wineland,0,11 of 53,20%,11 of 53,0 of 0,---,0,0,0:19,5 of 43,4 of 7,2 of 3,11 of 53,0 of 0,0 of 0,Red,Bantamweight,1,UFC 165: Jones vs Gustafsson,KO/TKO,2,0:35
Brendan Schaub,0,14 of 30,46%,14 of 31,1 of 1,100%,1,0,0:53,13 of 29,1 of 1,0 of 0,14 of 30,0 of 0,0 of 0,Matt Mitrione,0,7 of 11,63%,7 of 11,0 of 0,---,0,0,0:00,4 of 8,1 of 1,2 of 2,7 of 11,0 of 0,0 of 0,Red,Heavyweight,0,UFC 165: Jones vs Gustafsson,Submission,1,4:06
Constantinos Philippou,0,7 of 25,28%,15 of 34,0 of 0,---,0,0,0:00,2 of 19,1 of 1,4 of 5,7 of 25,0 of 0,0 of 0,Francis Carmont,0,29 of 64,45%,89 of 134,5 of 5,100%,0,0,12:30,19 of 54,8 of 8,2 of 2,8 of 30,0 of 0,21 of 34,Blue,Middleweight,0,UFC 165: Jones vs Gustafsson,Decision - Unanimous,3,5:00
Pat Healy,0,44 of 157,28%,68 of 189,0 of 2,0%,0,0,0:06,27 of 131,12 of 21,5 of 5,42 of 155,2 of 2,0 of 0,Khabib Nurmagomedov,0,54 of 130,41%,90 of 169,5 of 11,45%,0,0,6:31,40 of 115,9 of 10,5 of 5,44 of 111,2 of 7,8 of 12,Blue,Lightweight,0,UFC 165: Jones vs Gustafsson,Decision - Unanimous,3,5:00
Mike Ricci,0,25 of 98,25%,31 of 105,0 of 0,---,0,2,0:46,13 of 73,8 of 19,4 of 6,14 of 84,1 of 2,10 of 12,Myles Jury,0,22 of 72,30%,29 of 84,4 of 6,66%,0,1,5:51,8 of 52,2 of 7,12 of 13,20 of 70,2 of 2,0 of 0,Blue,Lightweight,0,UFC 165: Jones vs Gustafsson,Decision - Split,3,5:00
Ivan Menjivar,0,29 of 62,46%,86 of 123,0 of 0,---,0,0,0:00,8 of 29,13 of 20,8 of 13,18 of 49,7 of 7,4 of 6,Wilson Reis,0,33 of 96,34%,78 of 150,4 of 6,66%,0,0,7:03,12 of 72,6 of 8,15 of 16,14 of 66,7 of 9,12 of 21,Blue,Bantamweight,0,UFC 165: Jones vs Gustafsson,Decision - Unanimous,3,5:00
Chris Clements,0,17 of 43,39%,25 of 51,0 of 0,---,0,0,0:12,0 of 21,6 of 10,11 of 12,13 of 35,4 of 7,0 of 1,Stephen Thompson,2,23 of 39,58%,36 of 53,2 of 2,100%,0,0,2:34,14 of 28,5 of 7,4 of 4,20 of 33,1 of 1,2 of 5,Blue,Welterweight,0,UFC 165: Jones vs Gustafsson,KO/TKO,2,1:27
Mitch Gagnon,0,27 of 57,47%,27 of 58,1 of 2,50%,1,0,0:41,18 of 44,5 of 9,4 of 4,20 of 48,5 of 6,2 of 3,Dustin Kimura,0,15 of 44,34%,15 of 44,0 of 0,---,1,0,0:11,3 of 30,6 of 6,6 of 8,14 of 43,1 of 1,0 of 0,Red,Bantamweight,0,UFC 165: Jones vs Gustafsson,Submission,1,4:05
John Makdessi,1,20 of 39,51%,20 of 39,0 of 0,---,0,0,0:08,11 of 26,5 of 7,4 of 6,11 of 23,0 of 0,9 of 16,Renee Forte,0,7 of 27,25%,7 of 27,0 of 0,---,0,0,0:00,3 of 21,2 of 4,2 of 2,7 of 27,0 of 0,0 of 0,Red,Lightweight,0,UFC 165: Jones vs Gustafsson,KO/TKO,1,2:01
Michel Prazeres,0,19 of 43,44%,50 of 77,7 of 15,46%,0,0,8:36,16 of 38,1 of 3,2 of 2,14 of 36,2 of 4,3 of 3,Jesse Ronson,0,38 of 73,52%,41 of 76,1 of 1,100%,0,0,0:46,15 of 46,10 of 14,13 of 13,27 of 58,3 of 4,8 of 11,Red,Lightweight,0,UFC 165: Jones vs Gustafsson,Decision - Split,3,5:00
Roland Delorme,1,47 of 115,40%,70 of 140,1 of 9,11%,1,1,1:43,26 of 84,17 of 27,4 of 4,38 of 106,3 of 3,6 of 6,Alex Caceres,0,106 of 162,65%,116 of 174,0 of 0,---,0,2,4:24,82 of 138,9 of 9,15 of 15,93 of 148,9 of 10,4 of 4,Blue,Bantamweight,0,UFC 165: Jones vs Gustafsson,Decision - Split,3,5:00
Nandor Guelmino,0,56 of 99,56%,75 of 123,0 of 3,0%,0,0,3:48,16 of 48,29 of 39,11 of 12,29 of 68,17 of 19,10 of 12,Daniel Omielanczuk,1,49 of 73,67%,57 of 82,2 of 5,40%,1,0,4:22,22 of 41,7 of 10,20 of 22,28 of 50,18 of 19,3 of 4,Blue,Heavyweight,0,UFC 165: Jones vs Gustafsson,KO/TKO,3,3:18
Glover Teixeira,1,14 of 24,58%,20 of 30,1 of 4,25%,0,0,0:51,13 of 23,1 of 1,0 of 0,4 of 11,1 of 1,9 of 12,Ryan Bader,0,11 of 27,40%,16 of 32,0 of 1,0%,1,0,0:38,9 of 25,0 of 0,2 of 2,5 of 16,6 of 11,0 of 0,Red,Light Heavyweight,0,UFC Fight Night: Teixeira vs Bader,KO/TKO,1,2:55
Yushin Okami,0,1 of 11,9%,1 of 11,0 of 0,---,0,0,0:00,1 of 10,0 of 1,0 of 0,1 of 11,0 of 0,0 of 0,Jacare Souza,1,28 of 48,58%,29 of 49,0 of 1,0%,0,0,0:27,25 of 43,2 of 4,1 of 1,7 of 13,11 of 25,10 of 10,Blue,Middleweight,0,UFC Fight Night: Teixeira vs Bader,KO/TKO,1,2:47
Joseph Benavidez,1,20 of 52,38%,20 of 52,0 of 0,---,0,0,0:05,13 of 40,4 of 7,3 of 5,16 of 46,0 of 2,4 of 4,Jussier Formiga,0,6 of 18,33%,6 of 18,0 of 0,---,0,0,0:00,5 of 15,1 of 3,0 of 0,5 of 17,1 of 1,0 of 0,Red,Flyweight,0,UFC Fight Night: Teixeira vs Bader,KO/TKO,1,3:07
Francisco Trinaldo,1,22 of 43,51%,24 of 46,1 of 4,25%,0,0,1:42,11 of 27,8 of 13,3 of 3,22 of 43,0 of 0,0 of 0,Piotr Hallmann,0,42 of 87,48%,62 of 112,2 of 2,100%,1,0,2:27,32 of 72,5 of 8,5 of 7,22 of 65,9 of 9,11 of 13,Blue,Lightweight,0,UFC Fight Night: Teixeira vs Bader,Submission,2,3:50
Rafael Natal,2,39 of 62,62%,57 of 81,0 of 2,0%,1,1,8:04,29 of 51,5 of 6,5 of 5,7 of 15,1 of 1,31 of 46,Tor Troeng,0,9 of 17,52%,54 of 66,0 of 1,0%,0,3,5:05,6 of 14,2 of 2,1 of 1,3 of 10,2 of 2,4 of 5,Red,Middleweight,0,UFC Fight Night: Teixeira vs Bader,Decision - Unanimous,3,5:00
Marcos Vinicius,0,27 of 47,57%,45 of 68,0 of 0,---,0,0,2:41,12 of 28,7 of 8,8 of 11,11 of 30,7 of 7,9 of 10,Ali Bagautinov,2,38 of 68,55%,46 of 78,3 of 5,60%,1,0,4:06,29 of 56,5 of 7,4 of 5,12 of 34,7 of 7,19 of 27,Blue,Flyweight,0,UFC Fight Night: Teixeira vs Bader,KO/TKO,3,3:28
Felipe Arantes,0,35 of 78,44%,68 of 117,3 of 5,60%,1,0,5:09,13 of 50,14 of 19,8 of 9,23 of 61,2 of 4,10 of 13,Edimilson Souza,0,52 of 136,38%,75 of 164,0 of 0,---,0,0,0:00,33 of 97,18 of 37,1 of 2,45 of 123,6 of 12,1 of 1,Blue,Featherweight,0,UFC Fight Night: Teixeira vs Bader,Decision - Split,3,5:00
Lucas Martins,1,10 of 20,50%,10 of 20,0 of 0,---,1,0,0:26,6 of 16,1 of 1,3 of 3,9 of 18,0 of 0,1 of 2,Ramiro Hernandez,0,4 of 10,40%,6 of 13,0 of 0,---,0,0,0:00,2 of 7,1 of 2,1 of 1,4 of 10,0 of 0,0 of 0,Red,Bantamweight,0,UFC Fight Night: Teixeira vs Bader,Submission,1,1:10
Joao Zeferino,0,11 of 28,39%,20 of 37,1 of 16,6%,0,0,6:07,6 of 21,4 of 5,1 of 2,6 of 22,3 of 4,2 of 2,Elias Silverio,0,49 of 84,58%,130 of 178,1 of 2,50%,0,0,4:40,18 of 40,24 of 32,7 of 12,24 of 50,15 of 19,10 of 15,Blue,Welterweight,0,UFC Fight Night: Teixeira vs Bader,Decision - Unanimous,3,5:00
Keith Wisniewski,0,42 of 78,53%,66 of 103,0 of 1,0%,0,0,0:39,24 of 58,17 of 19,1 of 1,14 of 47,28 of 31,0 of 0,Ivan Jorge,0,69 of 94,73%,87 of 116,2 of 10,20%,0,0,7:05,8 of 19,39 of 49,22 of 26,27 of 45,42 of 49,0 of 0,Blue,Welterweight,0,UFC Fight Night: Teixeira vs Bader,Decision - Unanimous,3,5:00
Yuri Villefort,0,69 of 171,40%,70 of 173,1 of 7,14%,0,0,0:37,32 of 122,12 of 24,25 of 25,66 of 165,3 of 6,0 of 0,Sean Spencer,0,99 of 281,35%,100 of 282,0 of 0,---,0,0,0:00,89 of 266,7 of 12,3 of 3,90 of 268,8 of 12,1 of 1,Blue,Welterweight,0,UFC Fight Night: Teixeira vs Bader,Decision - Split,3,5:00
Benson Henderson,0,11 of 16,68%,26 of 37,0 of 3,0%,0,0,3:09,3 of 8,3 of 3,5 of 5,4 of 9,6 of 6,1 of 1,Anthony Pettis,0,9 of 16,56%,10 of 17,0 of 0,---,1,0,0:00,3 of 9,6 of 7,0 of 0,9 of 16,0 of 0,0 of 0,Blue,Lightweight,1,UFC 164: Henderson vs Pettis 2,Submission,1,4:41
Frank Mir,0,9 of 16,56%,20 of 29,0 of 0,---,0,0,0:00,6 of 13,3 of 3,0 of 0,0 of 1,9 of 15,0 of 0,Josh Barnett,1,26 of 38,68%,33 of 46,0 of 0,---,0,0,1:11,13 of 24,13 of 14,0 of 0,1 of 4,25 of 33,0 of 1,Blue,Heavyweight,0,UFC 164: Henderson vs Pettis 2,KO/TKO,1,1:56
Chad Mendes,1,32 of 66,48%,40 of 74,3 of 5,60%,1,0,3:07,24 of 57,4 of 5,4 of 4,15 of 47,4 of 4,13 of 15,Clay Guida,0,17 of 99,17%,19 of 101,0 of 4,0%,0,0,0:05,11 of 90,1 of 1,5 of 8,16 of 98,1 of 1,0 of 0,Red,Featherweight,0,UFC 164: Henderson vs Pettis 2,KO/TKO,3,0:30
Ben Rothwell,1,56 of 103,54%,60 of 107,0 of 0,---,0,0,1:39,40 of 85,10 of 11,6 of 7,35 of 75,21 of 26,0 of 2,Brandon Vera,0,41 of 63,65%,47 of 69,0 of 1,0%,0,0,0:00,12 of 33,18 of 19,11 of 11,29 of 49,12 of 14,0 of 0,Red,Heavyweight,0,UFC 164: Henderson vs Pettis 2,KO/TKO,3,1:54
Erik Koch,0,32 of 74,43%,50 of 93,0 of 0,---,5,0,3:29,17 of 58,12 of 12,3 of 4,13 of 53,13 of 14,6 of 7,Dustin Poirier,2,54 of 92,58%,74 of 112,2 of 6,33%,2,0,7:31,40 of 72,9 of 12,5 of 8,19 of 49,13 of 16,22 of 27,Blue,Featherweight,0,UFC 164: Henderson vs Pettis 2,Decision - Unanimous,3,5:00
Jamie Varner,0,37 of 76,48%,63 of 104,1 of 3,33%,1,0,1:56,28 of 62,7 of 11,2 of 3,21 of 52,1 of 1,15 of 23,Gleison Tibau,0,26 of 55,47%,55 of 84,2 of 4,50%,0,0,5:40,23 of 48,2 of 6,1 of 1,9 of 34,2 of 3,15 of 18,Blue,Lightweight,0,UFC 164: Henderson vs Pettis 2,Decision - Split,3,5:00
Louis Gaudinot,0,28 of 78,35%,41 of 95,0 of 0,---,0,0,0:14,12 of 56,6 of 8,10 of 14,23 of 69,5 of 9,0 of 0,Tim Elliott,0,116 of 200,58%,270 of 386,6 of 6,100%,2,0,9:08,76 of 150,26 of 34,14 of 16,34 of 74,20 of 22,62 of 104,Blue,Flyweight,0,UFC 164: Henderson vs Pettis 2,Decision - Unanimous,3,5:00
Pascal Krauss,0,21 of 59,35%,21 of 59,0 of 1,0%,0,0,0:00,13 of 50,1 of 1,7 of 8,21 of 59,0 of 0,0 of 0,Hyun Gyu Lim,2,26 of 75,34%,26 of 75,1 of 1,100%,0,0,0:13,24 of 71,2 of 3,0 of 1,15 of 62,3 of 3,8 of 10,Blue,Welterweight,0,UFC 164: Henderson vs Pettis 2,KO/TKO,1,3:58
Chico Camus,0,28 of 69,40%,68 of 110,0 of 1,0%,1,2,2:28,27 of 68,0 of 0,1 of 1,9 of 30,4 of 5,15 of 34,Kyung Ho Kang,0,18 of 70,25%,117 of 173,3 of 3,100%,0,1,9:18,14 of 61,4 of 9,0 of 0,4 of 37,0 of 3,14 of 30,Red,Bantamweight,0,UFC 164: Henderson vs Pettis 2,Decision - Unanimous,3,5:00
Soa Palelei,0,29 of 42,69%,107 of 128,4 of 4,100%,0,0,7:36,26 of 39,2 of 2,1 of 1,4 of 6,7 of 12,18 of 24,Nikita Krylov,0,45 of 68,66%,98 of 123,0 of 1,0%,2,0,2:17,37 of 59,6 of 7,2 of 2,6 of 17,39 of 51,0 of 0,Red,Heavyweight,0,UFC 164: Henderson vs Pettis 2,KO/TKO,3,1:34
Ryan Couture,0,45 of 155,29%,47 of 158,0 of 6,0%,0,0,1:08,20 of 122,12 of 18,13 of 15,38 of 142,7 of 13,0 of 0,Al Iaquinta,0,80 of 177,45%,86 of 183,4 of 4,100%,0,0,0:53,55 of 147,19 of 24,6 of 6,62 of 150,13 of 20,5 of 7,Blue,Lightweight,0,UFC 164: Henderson vs Pettis 2,Decision - Unanimous,3,5:00
Jared Hamman,0,3 of 8,37%,3 of 8,0 of 1,0%,0,0,0:01,0 of 4,0 of 0,3 of 4,3 of 8,0 of 0,0 of 0,Magnus Cedenblad,0,4 of 13,30%,4 of 13,0 of 0,---,1,0,0:08,3 of 10,1 of 3,0 of 0,4 of 12,0 of 1,0 of 0,Blue,Middleweight,0,UFC 164: Henderson vs Pettis 2,Submission,1,0:57
Carlos Condit,1,100 of 235,42%,147 of 282,0 of 2,0%,2,1,1:16,68 of 185,15 of 25,17 of 25,81 of 208,17 of 24,2 of 3,Martin Kampmann,0,35 of 97,36%,43 of 108,6 of 15,40%,0,0,5:23,29 of 91,6 of 6,0 of 0,25 of 77,6 of 12,4 of 8,Red,Welterweight,0,UFC Fight Night: Condit vs Kampmann 2,KO/TKO,4,0:54
Donald Cerrone,0,40 of 80,50%,43 of 83,1 of 1,100%,0,0,1:00,9 of 34,21 of 34,10 of 12,37 of 77,3 of 3,0 of 0,Rafael Dos Anjos,1,39 of 109,35%,58 of 128,2 of 6,33%,0,0,3:50,21 of 78,14 of 25,4 of 6,30 of 91,1 of 1,8 of 17,Blue,Lightweight,0,UFC Fight Night: Condit vs Kampmann 2,Decision - Unanimous,3,5:00
Kelvin Gastelum,1,14 of 23,60%,14 of 24,1 of 2,50%,1,0,0:30,10 of 18,3 of 3,1 of 2,10 of 18,3 of 4,1 of 1,Brian Melancon,0,7 of 21,33%,9 of 23,0 of 0,---,0,0,0:00,5 of 17,2 of 2,0 of 2,6 of 20,1 of 1,0 of 0,Red,Welterweight,0,UFC Fight Night: Condit vs Kampmann 2,Submission,1,2:26
Court McGee,0,88 of 305,28%,99 of 318,1 of 8,12%,0,0,0:34,41 of 213,28 of 63,19 of 29,84 of 296,4 of 9,0 of 0,Robert Whittaker,0,48 of 184,26%,49 of 185,0 of 0,---,0,0,0:00,48 of 181,0 of 3,0 of 0,47 of 181,1 of 3,0 of 0,Red,Welterweight,0,UFC Fight Night: Condit vs Kampmann 2,Decision - Split,3,5:00
Takeya Mizugaki,0,39 of 106,36%,59 of 126,2 of 5,40%,1,0,2:40,32 of 97,6 of 8,1 of 1,30 of 89,6 of 13,3 of 4,Erik Perez,0,37 of 113,32%,49 of 127,5 of 11,45%,0,0,4:38,17 of 81,18 of 29,2 of 3,24 of 96,12 of 16,1 of 1,Red,Bantamweight,0,UFC Fight Night: Condit vs Kampmann 2,Decision - Split,3,5:00
Brad Tavares,0,30 of 79,37%,38 of 87,0 of 1,0%,0,0,1:37,7 of 48,7 of 13,16 of 18,21 of 70,5 of 5,4 of 4,Robert McDaniel,0,14 of 56,25%,35 of 78,1 of 3,33%,0,0,4:42,7 of 38,3 of 7,4 of 11,10 of 49,2 of 2,2 of 5,Red,Middleweight,0,UFC Fight Night: Condit vs Kampmann 2,Decision - Unanimous,3,5:00
Dylan Andrews,0,20 of 45,44%,21 of 46,2 of 5,40%,0,0,1:09,12 of 35,4 of 4,4 of 6,13 of 35,3 of 4,4 of 6,Papy Abedi,0,19 of 40,47%,27 of 48,3 of 5,60%,3,0,5:12,12 of 28,5 of 9,2 of 3,11 of 30,0 of 0,8 of 10,Red,Middleweight,0,UFC Fight Night: Condit vs Kampmann 2,KO/TKO,3,1:32
Justin Edwards,0,2 of 10,20%,2 of 10,0 of 2,0%,0,0,0:02,1 of 9,1 of 1,0 of 0,1 of 7,1 of 3,0 of 0,Brandon Thatch,2,17 of 26,65%,24 of 33,1 of 1,100%,0,0,0:19,13 of 22,4 of 4,0 of 0,4 of 8,9 of 12,4 of 6,Blue,Welterweight,0,UFC Fight Night: Condit vs Kampmann 2,KO/TKO,1,1:23
Darren Elkins,0,48 of 144,33%,100 of 205,2 of 5,40%,0,0,6:57,36 of 120,12 of 24,0 of 0,25 of 103,6 of 12,17 of 29,Hatsu Hioki,0,31 of 69,44%,73 of 114,1 of 1,100%,0,1,1:30,14 of 39,16 of 29,1 of 1,27 of 65,2 of 2,2 of 2,Red,Featherweight,0,UFC Fight Night: Condit vs Kampmann 2,Decision - Unanimous,3,5:00
James Head,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:03,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,Jason High,0,1 of 6,16%,8 of 13,1 of 1,100%,2,0,1:01,1 of 5,0 of 1,0 of 0,0 of 3,0 of 0,1 of 3,Blue,Welterweight,0,UFC Fight Night: Condit vs Kampmann 2,Submission,1,1:41
Zak Cummings,0,5 of 11,45%,12 of 19,2 of 3,66%,1,0,3:00,3 of 9,0 of 0,2 of 2,2 of 5,2 of 5,1 of 1,Ben Alloway,0,6 of 9,66%,10 of 13,0 of 0,---,0,0,0:00,1 of 2,4 of 6,1 of 1,3 of 5,3 of 4,0 of 0,Red,Welterweight,0,UFC Fight Night: Condit vs Kampmann 2,Submission,1,4:19
Roger Bowling,0,43 of 104,41%,47 of 108,4 of 5,80%,3,0,2:15,34 of 92,6 of 9,3 of 3,38 of 98,1 of 2,4 of 4,Abel Trujillo,0,50 of 123,40%,57 of 130,1 of 1,100%,0,0,1:36,42 of 115,3 of 3,5 of 5,35 of 104,7 of 10,8 of 9,No Contest,Lightweight,0,UFC Fight Night: Condit vs Kampmann 2,Could Not Continue,2,4:57
Mauricio Rua,0,0 of 1,0%,9 of 10,0 of 1,0%,0,0,0:50,0 of 1,0 of 0,0 of 0,0 of 0,0 of 1,0 of 0,Chael Sonnen,0,5 of 9,55%,58 of 70,2 of 3,66%,2,0,3:49,3 of 7,2 of 2,0 of 0,0 of 1,1 of 1,4 of 7,Blue,Light Heavyweight,0,UFC Fight Night: Shogun vs Sonnen,Submission,1,4:47
Alistair Overeem,2,41 of 66,62%,46 of 71,0 of 1,0%,0,0,2:15,21 of 44,18 of 20,2 of 2,5 of 11,25 of 37,11 of 18,Travis Browne,1,14 of 27,51%,14 of 27,0 of 0,---,0,0,0:02,8 of 19,6 of 7,0 of 1,9 of 21,3 of 4,2 of 2,Blue,Heavyweight,0,UFC Fight Night: Shogun vs Sonnen,KO/TKO,1,4:08
Urijah Faber,0,54 of 79,68%,127 of 155,4 of 5,80%,0,0,10:08,53 of 77,1 of 1,0 of 1,3 of 7,0 of 0,51 of 72,Iuri Alcantara,0,8 of 23,34%,25 of 43,1 of 1,100%,1,0,2:32,5 of 17,3 of 5,0 of 1,2 of 10,0 of 0,6 of 13,Red,Bantamweight,0,UFC Fight Night: Shogun vs Sonnen,Decision - Unanimous,3,5:00
Matt Brown,1,10 of 18,55%,10 of 18,0 of 0,---,0,0,0:06,8 of 15,1 of 2,1 of 1,4 of 11,1 of 1,5 of 6,Mike Pyle,0,0 of 3,0%,0 of 3,0 of 0,---,0,0,0:00,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0,Red,Welterweight,0,UFC Fight Night: Shogun vs Sonnen,KO/TKO,1,0:29
Uriah Hall,0,41 of 62,66%,59 of 82,2 of 8,25%,0,0,4:53,17 of 35,8 of 9,16 of 18,19 of 37,15 of 16,7 of 9,John Howard,0,33 of 61,54%,92 of 126,2 of 6,33%,1,0,3:47,10 of 31,6 of 12,17 of 18,18 of 41,10 of 14,5 of 6,Blue,Middleweight,0,UFC Fight Night: Shogun vs Sonnen,Decision - Split,3,5:00
