R_Fighter,R_KD,R_Sig. str.,R_Sig. str. %,R_Total str.,R_Td,R_Td %,R_Sub. att,R_Rev.,R_Ctrl,R_Head,R_Body,R_Leg,R_Distance,R_Clinch,R_Ground,B_Fighter,B_KD,B_Sig. str.,B_Sig. str. %,B_Total str.,B_Td,B_Td %,B_Sub. att,B_Rev.,B_Ctrl,B_Head,B_Body,B_Leg,B_Distance,B_Clinch,B_Ground,Winner,Division,Title_Bout,Event,Method,Round,Time
Melvin Guillard,2,20 of 40,50%,25 of 45,3 of 3,100%,0,0,1:12,15 of 34,4 of 5,1 of 1,10 of 21,1 of 3,9 of 16,Gabe Ruediger,0,7 of 23,30%,26 of 43,2 of 12,16%,0,0,2:08,5 of 20,2 of 2,0 of 1,0 of 13,3 of 5,4 of 5,Red,Lightweight,0,UFC 63: Hughes vs Penn,KO/TKO,2,1:01
Rashad Evans,0,25 of 44,56%,42 of 61,8 of 8,100%,0,0,5:23,18 of 35,7 of 9,0 of 0,0 of 6,5 of 7,20 of 31,Jason Lambert,0,6 of 18,33%,13 of 27,0 of 2,0%,3,0,0:31,1 of 12,5 of 6,0 of 0,1 of 11,5 of 7,0 of 0,Red,Light Heavyweight,0,UFC 63: Hughes vs Penn,KO/TKO,2,2:22
Joe Lauzon,1,9 of 11,81%,9 of 11,1 of 1,100%,0,0,0:00,9 of 11,0 of 0,0 of 0,3 of 4,1 of 1,5 of 6,Jens Pulver,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:31,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,Red,Lightweight,0,UFC 63: Hughes vs Penn,KO/TKO,1,0:48
Roger Huerta,0,71 of 174,40%,122 of 239,6 of 9,66%,0,1,10:50,56 of 152,13 of 18,2 of 4,27 of 90,9 of 16,35 of 68,Jason Dent,0,38 of 80,47%,85 of 139,0 of 0,---,3,1,0:15,27 of 64,7 of 11,4 of 5,27 of 64,7 of 11,4 of 5,Red,Lightweight,0,UFC 63: Hughes vs Penn,Decision - Unanimous,3,5:00
Eddie Sanchez,1,10 of 34,29%,23 of 47,0 of 0,---,0,0,1:01,8 of 32,0 of 0,2 of 2,3 of 25,1 of 1,6 of 8,Mario Neto,0,10 of 20,50%,12 of 22,1 of 1,100%,0,0,1:59,4 of 13,0 of 0,6 of 7,5 of 13,4 of 5,1 of 2,Red,Heavyweight,0,UFC 63: Hughes vs Penn,KO/TKO,2,0:17
Jorge Gurgel,0,58 of 159,36%,101 of 208,1 of 7,14%,1,0,2:03,49 of 149,6 of 7,3 of 3,44 of 128,12 of 18,2 of 13,Danny Abbadi,0,56 of 146,38%,79 of 173,0 of 0,---,0,0,1:50,49 of 137,7 of 9,0 of 0,41 of 122,12 of 20,3 of 4,Red,Lightweight,0,UFC 63: Hughes vs Penn,Decision - Split,3,5:00
Tyson Griffin,0,0 of 1,0%,7 of 11,1 of 1,100%,1,0,1:35,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,David Lee,0,1 of 2,50%,2 of 3,0 of 0,---,0,0,0:00,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0,Red,Lightweight,0,UFC 63: Hughes vs Penn,Submission,1,1:50
Chuck Liddell,2,17 of 25,68%,17 of 25,0 of 0,---,0,0,0:25,15 of 22,2 of 3,0 of 0,8 of 12,0 of 0,9 of 13,Renato Sobral,0,1 of 9,11%,1 of 9,0 of 0,---,0,0,0:00,0 of 7,0 of 1,1 of 1,1 of 9,0 of 0,0 of 0,Red,Light Heavyweight,1,UFC 62: Liddell vs Sobral,KO/TKO,1,1:35
Forrest Griffin,0,83 of 207,40%,87 of 211,0 of 0,---,0,0,0:17,50 of 157,6 of 8,27 of 42,75 of 193,8 of 14,0 of 0,Stephan Bonnar,0,41 of 159,25%,44 of 162,0 of 0,---,0,0,0:00,32 of 141,4 of 10,5 of 8,41 of 158,0 of 1,0 of 0,Red,Light Heavyweight,0,UFC 62: Liddell vs Sobral,Decision - Unanimous,3,5:00
Nick Diaz,0,75 of 199,37%,186 of 328,3 of 5,60%,1,0,2:01,49 of 164,23 of 31,3 of 4,35 of 133,39 of 61,1 of 5,Josh Neer,0,25 of 62,40%,33 of 71,0 of 2,0%,0,0,1:10,15 of 52,6 of 6,4 of 4,12 of 36,13 of 26,0 of 0,Red,Welterweight,0,UFC 62: Liddell vs Sobral,Submission,3,1:42
