First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,Link,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,0,http://ufcstats.com/fighter-details/46e2ca71fd5089cb,2.87,50%,3.50,58%,0.67,0.67,20%,40%,0.0
,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0,0,http://ufcstats.com/fighter-details/d6a3e131ad4ba064,3.56,38%,3.77,53%,0.00,0.00,0%,33%,0.0
Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,0,http://ufcstats.com/fighter-details/e20ad078a7d63361,4.62,78%,1.86,50%,4.47,4.47,50%,60%,1.1
Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0,0,http://ufcstats.com/fighter-details/047a91d3d9c79b05,4.59,48%,5.54,51%,2.28,2.28,66%,100%,0.0
Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,12,5,0,0,http://ufcstats.com/fighter-details/c7c39e2fb70248b3,3.99,54%,3.33,50%,0.00,0.00,0%,52%,1.6
Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,0,http://ufcstats.com/fighter-details/e06fd1260ac865a7,0.00,0%,3.13,25%,0.00,0.00,0%,0%,0.0
Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,17,1,0,0,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,3.49,54%,2.13,61%,1.01,1.01,33%,85%,0.0
Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,0,http://ufcstats.com/fighter-details/af997f7611673880,2.08,55%,4.21,40%,5.08,5.08,36%,0%,1.4
Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,0,http://ufcstats.com/fighter-details/25b31165758402dd,5.73,52%,5.00,69%,0.00,0.00,0%,100%,0.0
Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,4,0,0,http://ufcstats.com/fighter-details/dbd198f780286aca,1.09,50%,7.64,50%,0.00,0.00,0%,0%,0.0
