Fighter,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str Acc. (pct),SApM,Str Def. (pct),TD Avg.,TD Acc. (pct),TD Def. (pct),Sub. Avg.,Link
Sean Alvarez,,6.0,235.0,,Orthodox,4,3,0,0,0.89,0.37,3.25,0.47,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/e741536153227386
Eddie Alvarez,,5.75,155.0,69.0,Orthodox,29,6,0,0,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,http://ufcstats.com/fighter-details/33a331684283900f
Jaime Alvarez,,5.67,125.0,69.0,Orthodox,6,1,0,0,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,http://ufcstats.com/fighter-details/4438482bd1d5a029
Joel Alvarez,El Fenomeno,6.25,155.0,77.0,Orthodox,19,3,0,0,3.44,0.44,3.68,0.49,0.0,0.0,0.0,1.2,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
Thiago Alves,Pitbull,5.75,170.0,70.0,Orthodox,23,15,0,0,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
Anthony Alves,,,,,,1,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
Amilcar Alves,,6.0,170.0,,Southpaw,15,12,0,0,0.5,0.46,2.02,0.3,0.0,0.0,0.53,0.0,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
Warlley Alves,,5.92,170.0,72.0,Orthodox,15,5,0,0,3.07,0.48,3.63,0.51,1.42,0.52,0.78,1.1,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
Rafael Alves,The Turn,5.67,155.0,68.0,Orthodox,20,10,0,0,2.1,0.47,3.56,0.58,0.0,0.0,0.6,1.8,http://ufcstats.com/fighter-details/029afd138865d20a
Sam Alvey,Smile'N,6.17,185.0,75.0,Southpaw,33,17,1,0,3.3,0.44,3.57,0.53,0.07,0.16,0.82,0.1,http://ufcstats.com/fighter-details/d156513a19acf856
Andre Amado,Dida,6.0,154.0,,Orthodox,6,4,1,0,2.27,0.24,5.91,0.63,0.0,0.0,0.2,0.0,http://ufcstats.com/fighter-details/20821819c401ced8
Adlan Amagov,Borz,6.17,170.0,76.0,Orthodox,14,2,1,0,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,http://ufcstats.com/fighter-details/1e327b281ef6a745
Maiara Amanajas dos Santos,,5.42,115.0,,Southpaw,7,3,0,0,5.53,0.35,24.47,0.33,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/247fbbfafea60bb1
Rayanne Amanda,,,115.0,,,11,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/02bb48869eb7ac8f
Chris Amarante,,,185.0,,,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/ee0b69e307c857e5
Jimmy Ambriz,The Titan,6.17,315.0,,Southpaw,17,21,1,0,0.83,0.29,3.76,0.4,3.13,0.57,1.0,0.8,http://ufcstats.com/fighter-details/c912f676692c353a
JJ Ambrose,,5.83,170.0,,Orthodox,28,7,0,0,3.16,0.69,6.32,0.33,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/d562b12b8fe88336
Alen Amedovski,,5.83,185.0,74.0,Orthodox,8,3,0,0,0.55,0.25,3.91,0.36,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Makwan Amirkhani,Mr. Finland,5.83,145.0,72.0,Southpaw,17,7,0,0,1.36,0.43,2.41,0.51,4.08,0.43,0.5,1.2,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
Bertrand Amoussou,,5.67,190.0,,Orthodox,1,1,0,0,6.75,0.39,2.01,0.83,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/53adf5b845d91e4a
Karl Amoussou,The Psycho,5.92,185.0,,Orthodox,27,7,2,0,1.47,0.34,2.67,0.54,0.0,0.0,0.25,1.0,http://ufcstats.com/fighter-details/23a8c33869bf5392
Eryk Anders,Ya Boi,6.08,185.0,75.0,Southpaw,14,7,0,0,3.26,0.47,4.2,0.5,1.57,0.25,0.75,0.1,http://ufcstats.com/fighter-details/cad24459b28592ca
Matt Andersen,,6.17,230.0,,Southpaw,14,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8738eacd62e82a32
Andy Anderson,The Hammer,5.5,240.0,,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9199e0735b83dd32
Lowell Anderson,,5.5,160.0,,Orthodox,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1ffc38f67785797b
Corey Anderson,Overtime,6.25,205.0,79.0,Orthodox,14,5,0,0,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0.0,http://ufcstats.com/fighter-details/5e4eec08896c9423
Derek Anderson,Barbaric,6.0,155.0,,,14,3,0,0,3.97,0.37,3.08,0.61,0.34,0.14,0.6,0.0,http://ufcstats.com/fighter-details/19ba965651486013
Megan Anderson,,6.0,145.0,72.0,Orthodox,11,5,0,0,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
Tatsuya Ando,,,135.0,,,13,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/17615148dd4be6f6
Alex Andrade,El Toro,5.92,200.0,,Orthodox,10,5,0,0,0.2,0.36,2.6,0.53,0.0,0.0,0.25,0.8,http://ufcstats.com/fighter-details/1562b12763cc8d67
Jessica Andrade,Bate Estaca,5.08,125.0,62.0,Orthodox,23,9,0,0,6.16,0.5,5.16,0.53,2.85,0.55,0.66,0.5,http://ufcstats.com/fighter-details/6a1901c62ab3870f
Viscardi Andrade,,5.92,170.0,75.0,Orthodox,19,6,0,0,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,http://ufcstats.com/fighter-details/d221ee27afc7a60e
Jermaine Andre,,5.58,200.0,,Orthodox,14,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9bad58fa651d6196
Juan Andres Luna,,,125.0,,,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1fd9f744105024a8
Dylan Andrews,The Villain,6.08,185.0,74.0,Switch,18,7,0,0,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,http://ufcstats.com/fighter-details/00debc804e2b1cd4
Reese Andy,Riptide,6.0,205.0,,Orthodox,7,3,0,0,2.87,0.5,3.5,0.58,0.67,0.2,0.4,0.0,http://ufcstats.com/fighter-details/46e2ca71fd5089cb
,The Hitman,5.58,145.0,68.0,Orthodox,13,3,0,0,3.56,0.38,3.77,0.53,0.0,0.0,0.33,0.0,http://ufcstats.com/fighter-details/d6a3e131ad4ba064
Julius Anglickas,,6.25,205.0,,Orthodox,5,1,0,0,4.62,0.78,1.86,0.5,4.47,0.5,0.6,1.1,http://ufcstats.com/fighter-details/e20ad078a7d63361
Collin Anglin,,5.75,145.0,71.0,Orthodox,8,3,0,0,4.59,0.48,5.54,0.51,2.28,0.66,1.0,0.0,http://ufcstats.com/fighter-details/047a91d3d9c79b05
Chad Anheliger,The Monster,5.5,135.0,64.0,Orthodox,12,5,0,0,3.99,0.54,3.33,0.5,0.0,0.0,0.52,1.6,http://ufcstats.com/fighter-details/c7c39e2fb70248b3
Yoji Anjo,Mr. 200%,5.92,205.0,,Orthodox,0,5,1,0,0.0,0.0,3.13,0.25,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/e06fd1260ac865a7
